Ticker,ValueBillions
000876:CH,24.959
NASDAQ: PEP,159.45
NYSE: AEP,35.83
NYSE: BLBD,0.62356
NYSE: BPL,5.64
NYSE: BUD,174.79
NYSE: CPK,1.44
NYSE: CQB,0.68265
NYSE: CVA,2.31
NYSE: DUK,58.75
NYSE: IP,21.14
NYSE: LMS,0.04218
NYSE: MOS,11.54
NYSE: NEE,81.16
NYSE: NRG,10.56
NYSE: POT,17.35
NYSE: RYAM,1.06
NYSE: SO,44.96
NYSE: WRK,14.03
TSX: EMA,9.57
